Random Values=100Normal Distribution Parameters
s=200,l=50000,u=1000000
	Array	Vector
t55	 43992	 2769980
t56	 43432	 2950426
t57	 48258	 2661433
t58	 30424	 2672343
t59	 31753	 2533232
t60	 30215	 2587016
t61	 37348	 2478469
t62	 34201	 2697242
t63	 38887	 2449444
t64	 34690	 2621706
t65	 29445	 2534211
t66	 56302	 2590584
t67	 30564	 2523371
t68	 33991	 2658914
t69	 28116	 2457697
t70	 36928	 2524909
t71	 33781	 2567014
t72	 27067	 2496793
t73	 28466	 2579532
t74	 30844	 2450353
t75	 29865	 2373279
t76	 33222	 2561697
t77	 33362	 2491687
t78	 28466	 2403982
t79	 33012	 2529875
t80	 33431	 2589604
t81	 28326	 2655837
t82	 24269	 2479448
t83	 32522	 2617860
t84	 27836	 2465041
t85	 30005	 2702977
t86	 40355	 2635065
t87	 44202	 2551627
t88	 29095	 2876988
t89	 29305	 2793549
t90	 41335	 2631008
t91	 29445	 2793479
t92	 35319	 2829289
t93	 29515	 2619399
t94	 28116	 2542325
t95	 27836	 2644018
t96	 28326	 2587296
t97	 28466	 2589883
t98	 30843	 2793480
t99	 33361	 2584218
5 36461

t0	 31334	 962797
t1	 3078	 771790
t2	 3916	 870125
t3	 4616	 951535
t4	 4336	 778294
t5	 3217	 769272
t6	 4197	 832777
t7	 5455	 883833
t8	 3007	 762418
t9	 3427	 762138
t10	 3917	 790394
t11	 6295	 788645
t12	 3777	 958320
t13	 4756	 824594
t14	 4266	 787945
t15	 4127	 780043
t16	 4476	 861383
t17	 3847	 766963
t18	 4476	 832288
t19	 2938	 768152
t20	 3427	 767174
t21	 3217	 932652
t22	 5456	 786757
t23	 3357	 770321
t24	 3287	 767314
t25	 4546	 888170
t26	 4337	 799975
t27	 3637	 757381
t28	 3637	 769831
t29	 4546	 767174
t30	 4756	 939925
t31	 4966	 760669
t32	 3847	 767733
t33	 4057	 766544
t34	 4197	 926847
t35	 4546	 786617
t36	 3497	 757103
t37	 4057	 761788
t38	 3427	 768712
t39	 4127	 922581
t40	 4686	 763607
t41	 3357	 864879
t42	 4336	 758221
t43	 4407	 801934
t44	 4826	 807319
t45	 5105	 801234
t46	 4476	 768013
t47	 4127	 766474
t48	 3497	 905278
t49	 4196	 769239
t50	 2797	 756583
t51	 3566	 773925
t52	 4125	 771617
t53	 3846	 909800
t54	 3357	 766668
t55	 3496	 791285
t56	 4545	 819467
t57	 3287	 855271
t58	 3707	 768414
t59	 2937	 797016
t60	 3497	 778414
t61	 4266	 786457
t62	 4126	 925273
t63	 3217	 782961
t64	 3496	 815270
t65	 5105	 821773
t66	 3287	 872055
t67	 3986	 847228
t68	 4336	 774569
t69	 3496	 776177
t70	 4196	 774638
t71	 4966	 898838
t72	 3287	 772890
t73	 3357	 794639
t74	 3916	 788695
t75	 4056	 943594
t76	 4336	 852753
t77	 3146	 867089
t78	 5455	 857928
t79	 3636	 817716
t80	 3497	 867089
t81	 3427	 775058
t82	 4266	 784429
t83	 3986	 785059
t84	 4685	 934434
t85	 5245	 769254
t86	 3567	 778904
t87	 4406	 936461
t88	 4476	 765058
t89	 3077	 981498
t90	 6294	 819325
t91	 4826	 855410
t92	 4755	 852334
t93	 4546	 912056
t94	 3846	 831144
t95	 3217	 776456
t96	 3846	 834080
t97	 5035	 939468
t98	 4406	 862474
t99	 3917	 816877
6 97968

t0	 15665	 3608219
t1	 34617	 3160584
t2	 32728	 3253034
t3	 28952	 3030370
t4	 42169	 3288210
t5	 33357	 3233173
t6	 33497	 3086665
t7	 33567	 3143940
t8	 30351	 3236321
t9	 32938	 3065056
t10	 54337	 3244642
t11	 29861	 3301427
t12	 30630	 3170724
t13	 31189	 3080022
t14	 30560	 3108344
t15	 34337	 3221844
t16	 31749	 3197648
t17	 32518	 3130303
t18	 33427	 3270028
t19	 32588	 3196529
t20	 34057	 3002816
t21	 31050	 3292825
t22	 45176	 3418424
t23	 51261	 3441292
t24	 33567	 3419053
t25	 33008	 3254573
t26	 40840	 3315693
t27	 30141	 3304364
t28	 30701	 3252894
t29	 48183	 3545910
t30	 47275	 3152891
t31	 42379	 3271916
t32	 34406	 3167787
t33	 31609	 3161703
t34	 36365	 3167227
t35	 35386	 3254642
t36	 40421	 3192613
t37	 35595	 3077994
t38	 32658	 3117366
t39	 31330	 3095687
t40	 37484	 3121422
t41	 34617	 3014705
t42	 37623	 3095547
t43	 33148	 3070161
t44	 30561	 2957571
t45	 34897	 3122331
t46	 31610	 3030230
t47	 36015	 3098694
t48	 33358	 3163032
t49	 32728	 3339471
t50	 91751	 3138835
t51	 42099	 3376604
t52	 36644	 3256600
t53	 42029	 3252825
t54	 33357	 3369191
t55	 33567	 3521433
t56	 35595	 3238628
t57	 47624	 3141982
t58	 40910	 3219537
t59	 35176	 3101352
t60	 36015	 3355695
t61	 34197	 3384577
t62	 31959	 3347372
t63	 36645	 3100442
t64	 46435	 3094358
t65	 35456	 3141493
t66	 35456	 3401640
t67	 33078	 3418704
t68	 37204	 3322057
t69	 30141	 3162192
t70	 57414	 3153101
t71	 35386	 3386045
t72	 31120	 3303735
t73	 30560	 3216320
t74	 35106	 3310449
t75	 31959	 2934493
t76	 34896	 3178696
t77	 34337	 3033167
t78	 33987	 3033517
t79	 35456	 3175130
t80	 30351	 2935472
t81	 34057	 3053657
t82	 34686	 3255342
t83	 40001	 3155549
t84	 38114	 3136946
t85	 31260	 3435557
t86	 35385	 3050022
t87	 33847	 3388283
t88	 30770	 3297650
t89	 30770	 3334226
t90	 41260	 3245412
t91	 33148	 3300168
t92	 30980	 3156388
t93	 33987	 3380590
t94	 31539	 3420521
t95	 56365	 3128975
t96	 37484	 3173731
t97	 30910	 3357863
t98	 33777	 3406186
t99	 30840	 3001628
7 83712

t0	 39512	 2841903
t1	 36854	 2866029
t2	 26434	 2675185
t3	 24616	 2801622
t4	 26434	 2776586
t5	 32169	 2822322
t6	 26505	 2520355
t7	 34896	 2712109
t8	 26504	 2830924
t9	 30560	 2740501
t10	 45455	 2605952
t11	 34477	 2724767
t12	 34196	 2740081
t13	 27694	 2521963
t14	 35735	 2827077
t15	 40910	 2972956
t16	 35106	 2968480
t17	 26225	 2611966
t18	 35735	 2901416
t19	 40910	 2754208
t20	 31609	 3064008
t21	 26504	 2790363
t22	 29861	 2872114
t23	 33567	 2891625
t24	 27063	 2874911
t25	 45246	 2754557
t26	 32519	 2803021
t27	 43918	 2823091
t28	 28392	 2595532
t29	 31049	 2766865
t30	 39511	 2927500
t31	 31329	 2857428
t32	 31749	 2602105
t33	 34756	 2771621
t34	 33708	 2715116
t35	 30141	 2802461
t36	 44617	 2657771
t37	 29092	 2650848
t38	 34757	 2807216
t39	 24826	 2654695
t40	 31190	 2694766
t41	 32728	 2762390
t42	 28812	 2573224
t43	 34057	 2998411
t44	 43219	 3095197
t45	 31819	 2655814
t46	 30071	 3156248
t47	 30490	 2749103
t48	 30631	 3357373
t49	 26853	 3184570
t50	 37413	 2702738
t51	 28673	 3353317
t52	 32798	 3276811
t53	 26504	 2806657
t54	 39441	 3216879
t55	 33707	 3052539
t56	 27413	 2766866
t57	 28742	 2920506
t58	 30770	 2700920
t59	 33987	 2817916
t60	 23847	 2689241
t61	 33428	 3057994
t62	 30770	 3159116
t63	 26155	 2943025
t64	 28393	 2514760
t65	 35246	 2660359
t66	 34406	 2613504
t67	 31120	 2627771
t68	 36015	 2946312
t69	 32798	 3103799
t70	 24896	 2680220
t71	 30280	 2588608
t72	 34197	 3089532
t73	 25035	 2695954
t74	 35176	 3092820
t75	 32798	 2787915
t76	 23567	 2673367
t77	 32589	 2669031
t78	 35315	 3095197
t79	 23707	 3215830
t80	 29931	 2966452
t81	 29371	 2699591
t82	 38043	 3117016
t83	 31260	 2786447
t84	 178607	 3095757
t85	 24826	 2954493
t86	 36295	 3067993
t87	 27553	 3361778
t88	 32658	 3298420
t89	 31819	 3493880
t90	 36645	 2602106
t91	 34197	 2967081
t92	 29162	 3208558
t93	 29861	 3054007
t94	 33357	 3000509
t95	 30281	 3174500
t96	 29791	 2653996
t97	 36294	 3186528
t98	 24756	 3314714
t99	 26784	 2959249
8 13973

t0	 4825	 320290
t1	 2308	 390711
t2	 2307	 316723
t3	 2517	 337143
t4	 2588	 365465
t5	 3566	 326024
t6	 2238	 442321
t7	 2378	 318821
t8	 2308	 314415
t9	 2238	 515959
t10	 2447	 319100
t11	 2867	 385466
t12	 2307	 343506
t13	 2588	 319590
t14	 2238	 320009
t15	 2238	 331828
t16	 2448	 327842
t17	 3706	 377005
t18	 2588	 454070
t19	 3217	 338122
t20	 2587	 312736
t21	 2168	 430992
t22	 3427	 320499
t23	 2448	 324206
t24	 2237	 333856
t25	 2727	 317771
t26	 2168	 330010
t27	 2307	 332038
t28	 2378	 322108
t29	 2168	 322947
t30	 2378	 412110
t31	 2447	 391060
t32	 2867	 454419
t33	 3007	 431622
t34	 2517	 390221
t35	 1888	 325465
t36	 2378	 329660
t37	 2588	 345885
t38	 2447	 321758
t39	 2937	 339101
t40	 3007	 323506
t41	 2238	 419663
t42	 2587	 334626
t43	 2448	 342318
t44	 2448	 328052
t45	 1958	 424558
t46	 3077	 331758
t47	 2377	 317841
t48	 2378	 338052
t49	 2238	 320778
t50	 2658	 330289
t51	 2308	 424418
t52	 2378	 320989
t53	 2168	 322108
t54	 2308	 336583
t55	 2448	 328402
t56	 2238	 317632
t57	 2237	 338681
t58	 2797	 326863
t59	 2588	 427775
t60	 2237	 345535
t61	 2518	 388683
t62	 2937	 323786
t63	 2168	 480154
t64	 2378	 324835
t65	 2587	 406445
t66	 2447	 343087
t67	 2238	 320918
t68	 2308	 316023
t69	 2518	 362459
t70	 2308	 319311
t71	 2448	 433650
t72	 3636	 343647
t73	 2587	 379102
t74	 2238	 321129
t75	 2518	 339451
t76	 2377	 312806
t77	 2308	 465259
t78	 2448	 349801
t79	 2518	 423090
t80	 3427	 404558
t81	 2308	 574073
t82	 2448	 437146
t83	 2447	 322107
t84	 2308	 475329
t85	 2517	 322946
t86	 2238	 410572
t87	 3147	 410082
t88	 2238	 383788
t89	 2657	 435537
t90	 2588	 444279
t91	 2447	 464349
t92	 2308	 464559
t93	 3147	 493651
t94	 3147	 393648
t95	 2447	 392459
t96	 2377	 431271
t97	 2378	 489526
t98	 3706	 424908
t99	 2447	 408963
9 32147

t0	 12798	 1050381
t1	 3357	 717364
t2	 3916	 1158496
t3	 4966	 712608
t4	 3776	 824150
t5	 3706	 723308
t6	 4126	 727435
t7	 3427	 795758
t8	 3846	 1013107
t9	 3217	 1034856
t10	 5175	 868837
t11	 3147	 785408
t12	 4056	 834220
t13	 3427	 817018
t14	 2518	 807227
t15	 3776	 840165
t16	 4196	 812122
t17	 3217	 708133
t18	 4196	 775268
t19	 4336	 717574
t20	 3497	 732819
t21	 3077	 946531
t22	 3777	 730301
t23	 3636	 832193
t24	 4615	 809745
t25	 2587	 988630
t26	 4196	 724637
t27	 2587	 716805
t28	 3777	 756526
t29	 3147	 864012
t30	 4056	 1058843
t31	 4406	 863872
t32	 3426	 899677
t33	 4545	 905341
t34	 4475	 921006
t35	 4056	 931636
t36	 3847	 721910
t37	 3287	 888698
t38	 5035	 1025974
t39	 4126	 917021
t40	 4685	 793869
t41	 4056	 702888
t42	 3147	 797786
t43	 3916	 706105
t44	 3356	 894082
t45	 3287	 699042
t46	 2518	 719672
t47	 2727	 787646
t48	 3567	 721980
t49	 3636	 769953
t50	 4056	 718973
t51	 3846	 709881
t52	 3846	 810514
t53	 4546	 703447
t54	 2867	 731071
t55	 4056	 705826
t56	 3637	 891355
t57	 4756	 926322
t58	 4405	 758624
t59	 3706	 1019820
t60	 4406	 706664
t61	 3357	 780863
t62	 3986	 711559
t63	 3497	 704217
t64	 3357	 740162
t65	 4405	 702258
t66	 3847	 867508
t67	 4335	 699881
t68	 3007	 717434
t69	 4126	 814081
t70	 5105	 719462
t71	 4056	 783100
t72	 3427	 726665
t73	 4336	 702119
t74	 2518	 733519
t75	 3287	 721420
t76	 3217	 825549
t77	 3706	 777086
t78	 3566	 714496
t79	 2657	 708693
t80	 2937	 721140
t81	 3637	 818905
t82	 2867	 718343
t83	 2868	 705056
t84	 3916	 724637
t85	 4266	 805129
t86	 3496	 776247
t87	 4266	 709042
t88	 4476	 792541
t89	 3846	 729042
t90	 3496	 720091
t91	 3007	 752610
t92	 3497	 790444
t93	 3776	 702328
t94	 3497	 722119
t95	 3847	 704846
t96	 4266	 890027
t97	 3567	 809814
t98	 3917	 715686
t99	 3566	 826458
10 96504

t0	 38882	 2974635
t1	 31050	 3855010
t2	 34057	 3798645
t3	 32449	 3803680
t4	 32099	 3173101
t5	 33218	 3092190
t6	 37483	 2987222
t7	 31540	 3545840
t8	 30211	 3040930
t9	 33917	 3351079
t10	 42589	 3310938
t11	 40420	 3996134
t12	 30071	 3239467
t13	 30001	 3664514
t14	 31749	 3545560
t15	 29022	 3375905
t16	 32238	 3205760
t17	 40491	 3051839
t18	 32169	 3456048
t19	 35526	 3190934
t20	 35316	 3576470
t21	 29162	 3329470
t22	 33078	 3019041
t23	 31330	 3179186
t24	 30560	 3123450
t25	 31050	 3014006
t26	 32658	 3098694
t27	 33497	 3041489
t28	 30420	 3113939
t29	 30141	 3439333
t30	 39022	 3953055
t31	 34617	 3738713
t32	 33357	 3967811
t33	 34756	 3404717
t34	 36364	 3128765
t35	 34196	 3661577
t36	 29581	 3746336
t37	 32029	 2945122
t38	 45246	 3268698
t39	 184341	 3289399
t40	 34896	 3321778
t41	 31190	 3416396
t42	 34407	 3216809
t43	 41819	 3053308
t44	 30840	 3058133
t45	 34966	 3088554
t46	 34337	 3153311
t47	 34896	 3123729
t48	 34197	 3093448
t49	 38743	 3547798
t50	 32938	 3145968
t51	 35316	 3071980
t52	 32238	 3109743
t53	 35456	 3106876
t54	 35805	 3095826
t55	 31399	 2999950
t56	 35385	 3121742
t57	 32725	 3070335
t58	 33144	 3098247
t59	 34962	 3317526
t60	 38459	 3326411
t61	 33634	 3274035
t62	 35452	 3871476
t63	 31257	 3080903
t64	 35452	 3360603
t65	 160619	 3200475
t66	 32376	 3735473
t67	 30137	 3052513
t68	 31676	 3520173
t69	 32235	 3382350
t70	 39577	 3243968
t71	 35242	 3059086
t72	 38669	 3852037
t73	 31746	 3295713
t74	 29788	 3458359
t75	 33844	 3613662
t76	 98315	 3646807
t77	 40417	 3145933
t78	 29088	 3250261
t79	 35662	 3505349
t80	 29788	 3141388
t81	 43284	 3491363
t82	 32376	 3103769
t83	 38109	 3132857
t84	 30907	 3045451
t85	 34753	 2974197
t86	 35941	 3075169
t87	 38249	 3023424
t88	 32865	 3089224
t89	 169219	 3798825
t90	 32865	 3262778
t91	 34054	 3115306
t92	 35312	 3410460
t93	 34053	 3022586
t94	 34473	 3059086
t95	 31746	 3498776
t96	 33214	 3458988
t97	 36361	 3179777
t98	 31466	 3419341
t99	 32445	 4109362
11 88926

t0	 29648	 3568910
t1	 28809	 3536325
t2	 24964	 2850639
t3	 34683	 2989091
t4	 26572	 2882805
t5	 34613	 3403467
t6	 36291	 3546185
t7	 22866	 3014754
t8	 34263	 2970491
t9	 33354	 2837843
t10	 28319	 2751625
t11	 33215	 2834347
t12	 34683	 2764072
t13	 34753	 2883713
t14	 29998	 2651143
t15	 29649	 2710788
t16	 33634	 2640234
t17	 28389	 2739248
t18	 27481	 2646528
t19	 39648	 2721627
t20	 30067	 2672959
t21	 32865	 2998112
t22	 27551	 2644919
t23	 33074	 3395566
t24	 32376	 3405286
t25	 33564	 2892524
t26	 27341	 3537165
t27	 27831	 3256975
t28	 25103	 2815327
t29	 33704	 3339276
t30	 33004	 3359485
t31	 32655	 3051255
t32	 29648	 2837703
t33	 34543	 3101391
t34	 85728	 3089713
t35	 103559	 3462904
t36	 26292	 3383050
t37	 29858	 2868750
t38	 35032	 3167330
t39	 33144	 2805048
t40	 32165	 2820431
t41	 27760	 2639115
t42	 89225	 3087126
t43	 44892	 2685686
t44	 33424	 2784140
t45	 25872	 2648556
t46	 30138	 2767707
t47	 34124	 2681420
t48	 30697	 2729109
t49	 27411	 2647577
t50	 35243	 2769316
t51	 32235	 2604223
t52	 33983	 2705265
t53	 32515	 2818823
t54	 30208	 3288371
t55	 26641	 3101951
t56	 28180	 2987763
t57	 25873	 3336059
t58	 22795	 3238234
t59	 28949	 3358226
t60	 110482	 2856583
t61	 29369	 3066078
t62	 27201	 3442696
t63	 29578	 2951121
t64	 39298	 2968043
t65	 31677	 2773512
t66	 29858	 3605131
t67	 27061	 3075448
t68	 30487	 2894133
t69	 33774	 2852667
t70	 32445	 3431018
t71	 24194	 3391510
t72	 29648	 3036011
t73	 31886	 2664358
t74	 38879	 2732885
t75	 28670	 2662330
t76	 33424	 2697363
t77	 31537	 2703516
t78	 37340	 2870498
t79	 38249	 2784350
t80	 34333	 2859450
t81	 33774	 2874693
t82	 26851	 2760925
t83	 29159	 2820921
t84	 41955	 2702258
t85	 34822	 2790923
t86	 34264	 2764561
t87	 31256	 2730578
t88	 32864	 2875323
t89	 33424	 3265086
t90	 38179	 2816725
t91	 33983	 2653940
t92	 35102	 3013634
t93	 30977	 2808684
