Random Values=100Normal Distribution Parameters
s=200,l=50000,u=1000000
	Array	Vector
t80	 33723	 2906792
t81	 33792	 2797874
t82	 47966	 2683789
t83	 34281	 3067796
t84	 34700	 3122255
t85	 25973	 2996860
t86	 35189	 3574895
t87	 27858	 3544243
t88	 31767	 3143620
t89	 48664	 3046571
t90	 24925	 3024648
t91	 29813	 2999652
t92	 38611	 3755099
t93	 28417	 4175132
t94	 43428	 3592419
t95	 29743	 3431276
t96	 35259	 3797898
t97	 30581	 4308557
t98	 28137	 3192144
t99	 27370	 3097679
5 13943

t0	 5586	 422407
t1	 3421	 437279
t2	 2583	 433159
t3	 2723	 404953
t4	 3003	 423315
t5	 2584	 378072
t6	 2513	 379748
t7	 2374	 431065
t8	 2653	 391338
t9	 3072	 517432
t10	 4328	 381005
t11	 2374	 341976
t12	 2513	 318796
t13	 2304	 319842
t14	 2304	 329618
t15	 2863	 336599
t16	 3421	 323822
t17	 4049	 420802
t18	 2514	 481056
t19	 2374	 328151
t20	 2443	 352170
t21	 2164	 323543
t22	 2443	 337856
t23	 2234	 551434
t24	 2374	 506889
t25	 3211	 319843
t26	 2304	 334016
t27	 2234	 402928
t28	 2373	 318935
t29	 2444	 333108
t30	 2304	 319424
t31	 2514	 319633
t32	 2374	 420731
t33	 2863	 328291
t34	 2234	 314118
t35	 2234	 332550
t36	 2304	 350982
t37	 2933	 317469
t38	 2374	 471770
t39	 2723	 321519
t40	 2374	 322914
t41	 2514	 329618
t42	 2583	 319773
t43	 2443	 318725
t44	 2374	 331503
t45	 2653	 323613
t46	 3003	 428551
t47	 2514	 337158
t48	 2374	 419475
t49	 2374	 351611
t50	 3351	 329827
t51	 2583	 315374
t52	 2234	 320122
t53	 2374	 332829
t54	 2024	 391687
t55	 3352	 318237
t56	 2584	 420243
t57	 2513	 408933
t58	 3211	 469885
t59	 2514	 424782
t60	 2932	 460668
t61	 2933	 421989
t62	 3072	 422477
t63	 2583	 409142
t64	 3142	 382331
t65	 2932	 335552
t66	 2514	 316771
t67	 2443	 409910
t68	 2513	 322775
t69	 2304	 375070
t70	 2513	 324241
t71	 2583	 323264
t72	 2862	 325498
t73	 2863	 315025
t74	 2583	 339742
t75	 2513	 413750
t76	 3072	 325987
t77	 2374	 406070
t78	 3631	 316282
t79	 2304	 315234
t80	 2443	 330734
t81	 2513	 321658
t82	 2443	 466603
t83	 2932	 344768
t84	 2304	 309649
t85	 2025	 455014
t86	 2234	 335063
t87	 125256	 363759
t88	 2304	 392874
t89	 3491	 327104
t90	 2374	 318307
t91	 2374	 442097
t92	 2514	 324102
t93	 2513	 329268
t94	 4120	 455851
t95	 3351	 443632
t96	 2653	 395178
t97	 3561	 412493
t98	 2304	 428552
t99	 2723	 320192
6 47996

t0	 10263	 1814607
t1	 5027	 1175410
t2	 4817	 1468721
t3	 5376	 1077802
t4	 4538	 1543358
t5	 4817	 1236851
t6	 5237	 1396738
t7	 5516	 1445402
t8	 4818	 1455735
t9	 4189	 1476681
t10	 5027	 1423898
t11	 5027	 1282932
t12	 5097	 1330409
t13	 5306	 1156210
t14	 4747	 1288099
t15	 4189	 1350238
t16	 4469	 1446519
t17	 5027	 1426271
t18	 67306	 1166473
t19	 4678	 1086600
t20	 5096	 1306321
t21	 4608	 1163750
t22	 5656	 1591883
t23	 4957	 1079757
t24	 5516	 1274065
t25	 5237	 1383193
t26	 5376	 1379004
t27	 4678	 1310302
t28	 5166	 1246625
t29	 4328	 1366087
t30	 4887	 1340324
t31	 4958	 1239993
t32	 5027	 1169336
t33	 4469	 1255633
t34	 3840	 1101471
t35	 3770	 1205572
t36	 5027	 1103427
t37	 3631	 1106149
t38	 3631	 1097002
t39	 5027	 1318051
t40	 4608	 1095815
t41	 4609	 1104753
t42	 4957	 1218279
t43	 4888	 1173664
t44	 4678	 1097002
t45	 5586	 1201522
t46	 4608	 1163681
t47	 4608	 1147063
t48	 4957	 1203687
t49	 5306	 1100983
t50	 4398	 1123604
t51	 5027	 1179599
t52	 4678	 1095886
t53	 4817	 1110339
t54	 4398	 1189234
t55	 4469	 1157676
t56	 6144	 1137847
t57	 4399	 1205362
t58	 4189	 1183160
t59	 4608	 1099726
t60	 4608	 1095746
t61	 5097	 1232173
t62	 4469	 1133937
t63	 4538	 1172687
t64	 4678	 1178412
t65	 4748	 1110966
t66	 5237	 1099307
t67	 4608	 1110198
t68	 4678	 1225051
t69	 4957	 1095397
t70	 5307	 1110897
t71	 5236	 1218837
t72	 5027	 1224912
t73	 4748	 1508589
t74	 4888	 1251932
t75	 4747	 1084296
t76	 3840	 1098608
t77	 4539	 1446868
t78	 6493	 1476471
t79	 4817	 1245229
t80	 5167	 1282513
t81	 3980	 1458109
t82	 4469	 1598027
t83	 5097	 1424944
t84	 4887	 1362107
t85	 4957	 1478426
t86	 4748	 1130376
t87	 5935	 1154045
t88	 4957	 1547966
t89	 4887	 1344792
t90	 4888	 1396947
t91	 5865	 1274414
t92	 4399	 1124721
t93	 4469	 1418032
t94	 4957	 1350238
t95	 4120	 1090021
t96	 4818	 1256122
t97	 4818	 1591325
t98	 5236	 1305693
t99	 4748	 1529115
7 87449

t0	 4887	 2934162
t1	 28696	 3366273
t2	 29464	 3357197
t3	 24925	 3282071
t4	 25275	 2709483
t5	 32467	 2848004
t6	 32746	 3464859
t7	 62907	 2789844
t8	 31768	 2712904
t9	 33094	 2942958
t10	 26671	 3603730
t11	 37074	 2805972
t12	 32396	 2750815
t13	 40565	 2924805
t14	 32606	 2727286
t15	 36516	 2654884
t16	 34490	 2865458
t17	 36585	 2890454
t18	 28487	 2777417
t19	 126653	 2733640
t20	 45592	 3334296
t21	 37633	 3101658
t22	 34560	 4516339
t23	 33234	 2940445
t24	 26043	 2828385
t25	 35189	 3141525
t26	 33653	 5140524
t27	 25693	 2620812
t28	 35119	 2776299
t29	 30860	 5635195
t30	 43777	 4002328
t31	 42799	 3948638
t32	 35538	 4023833
t33	 35677	 3066539
t34	 32745	 2873837
t35	 30511	 2696915
t36	 40705	 3260428
t37	 31978	 2617670
t38	 33932	 2769737
t39	 33444	 2796407
t40	 33373	 2807648
t41	 31419	 2946868
t42	 33584	 2758914
t43	 44475	 2912657
t44	 25345	 2856312
t45	 30302	 2656489
t46	 35398	 2806671
t47	 35468	 2952454
t48	 28417	 2679599
t49	 43777	 2821124
t50	 34979	 2955387
t51	 28347	 2801713
t52	 33583	 3061232
t53	 32885	 2893177
t54	 39308	 2845700
t55	 36865	 2774205
t56	 28766	 2595537
t57	 36167	 2927458
t58	 31279	 2966138
t59	 28277	 2823567
t60	 27160	 2617949
t61	 38540	 2872161
t62	 31978	 2644062
t63	 30511	 2585064
t64	 36167	 2962787
t65	 29883	 2795081
t66	 33862	 2774763
t67	 35887	 2799898
t68	 33304	 2755005
t69	 36865	 2751095
t70	 32676	 2666753
t71	 35259	 3018991
t72	 31628	 2769318
t73	 40566	 2751235
t74	 29673	 2611246
t75	 33165	 2775113
t76	 32466	 2991065
t77	 35608	 2888499
t78	 45313	 2799968
t79	 38331	 2813722
t80	 34700	 2782584
t81	 33932	 2786773
t82	 30371	 2720304
t83	 34002	 2698660
t84	 33094	 2836345
t85	 39867	 2676179
t86	 27858	 2719048
t87	 35120	 2740622
t88	 32746	 2750187
t89	 31907	 2733012
t90	 32117	 2749699
t91	 37144	 2844234
t92	 30999	 2663681
t93	 34700	 2941842
t94	 26810	 2759194
t95	 32955	 2728892
t96	 30442	 2739156
t97	 40984	 2739435
t98	 34282	 2915380
t99	 26741	 2726379
8 15200

t0	 7471	 359291
t1	 3002	 328919
t2	 2654	 344140
t3	 2444	 335133
t4	 2444	 334715
t5	 2234	 347561
t6	 3212	 336321
t7	 2723	 351332
t8	 2792	 332131
t9	 2305	 337856
t10	 2514	 421011
t11	 2793	 342883
t12	 2723	 334435
t13	 2234	 357546
t14	 2793	 338554
t15	 2793	 356638
t16	 2514	 338904
t17	 2793	 348679
t18	 2514	 375279
t19	 2793	 339322
t20	 2793	 525391
t21	 2444	 338415
t22	 2444	 352309
t23	 2583	 357894
t24	 2584	 334365
t25	 2584	 478124
t26	 3212	 354822
t27	 2234	 334924
t28	 2234	 341277
t29	 2374	 410538
t30	 4049	 338484
t31	 2444	 347422
t32	 2234	 341138
t33	 2234	 346165
t34	 2444	 340439
t35	 2304	 340299
t36	 2234	 357476
t37	 2862	 345816
t38	 5306	 441678
t39	 2373	 473096
t40	 3630	 796361
t41	 2514	 362293
t42	 2583	 346513
t43	 2443	 340858
t44	 3003	 368647
t45	 4259	 477565
t46	 6493	 689118
t47	 3770	 536143
t48	 3142	 500117
t49	 2862	 509263
t50	 2862	 503398
t51	 2862	 489993
t52	 3841	 521552
t53	 3561	 662796
t54	 3910	 365854
t55	 2304	 331712
t56	 2862	 331851
t57	 2584	 352099
t58	 2863	 333318
t59	 2514	 356987
t60	 2653	 333458
t61	 2374	 343651
t62	 2653	 362852
t63	 2933	 424572
t64	 4328	 342325
t65	 2653	 359151
t66	 2723	 329688
t67	 2723	 355311
t68	 3002	 335133
t69	 2514	 342883
t70	 2653	 415286
t71	 2304	 343442
t72	 2514	 347910
t73	 2304	 403207
t74	 3281	 455222
t75	 2932	 443214
t76	 2304	 331224
t77	 2374	 339043
t78	 2374	 344280
t79	 2583	 328640
t80	 2514	 351681
t81	 2793	 334784
t82	 2513	 341487
t83	 2793	 486292
t84	 2513	 406488
t85	 4190	 371230
t86	 2444	 335692
t87	 2373	 335133
t88	 2653	 351402
t89	 2374	 334086
t90	 2374	 342046
t91	 2164	 349796
t92	 1815	 340370
t93	 2583	 438746
t94	 2723	 341627
t95	 2514	 383379
t96	 2513	 356498
t97	 2234	 332969
t98	 2234	 348888
t99	 2653	 330036
9 33798

t0	 14522	 993949
t1	 5445	 847328
t2	 4469	 744345
t3	 4189	 739667
t4	 4329	 750140
t5	 4189	 751048
t6	 4119	 883914
t7	 3491	 748883
t8	 3142	 752095
t9	 4049	 804948
t10	 4818	 828268
t11	 4608	 732127
t12	 4887	 731707
t13	 4958	 734082
t14	 4538	 769759
t15	 5935	 955897
t16	 6843	 983337
t17	 5795	 990877
t18	 5655	 922663
t19	 5935	 1118089
t20	 5446	 973422
t21	 6423	 1006028
t22	 3909	 1090230
t23	 4817	 1018875
t24	 3421	 1009868
t25	 4398	 1020621
t26	 4817	 1113829
t27	 4119	 1033537
t28	 5027	 1045058
t29	 3491	 1158862
t30	 3560	 1056577
t31	 3211	 1038215
t32	 3770	 1050852
t33	 3421	 1101890
t34	 3770	 1059230
t35	 3630	 1068237
t36	 3980	 1086879
t37	 3770	 1015105
t38	 5097	 1023203
t39	 4050	 1011195
t40	 5027	 1135753
t41	 4398	 1050014
t42	 3282	 1044010
t43	 4328	 1036819
t44	 4678	 775763
t45	 3840	 797826
t46	 6214	 1105241
t47	 3072	 1262474
t48	 4120	 1118158
t49	 4189	 1087508
t50	 4957	 1249768
t51	 6703	 1283421
t52	 5795	 1184277
t53	 5166	 1267991
t54	 4748	 780162
t55	 3840	 923920
t56	 3561	 763336
t57	 4887	 877351
t58	 4678	 762777
t59	 3421	 780860
t60	 5655	 793498
t61	 4189	 807671
t62	 73729	 756004
t63	 4399	 797966
t64	 4957	 727309
t65	 3630	 726541
t66	 4329	 1030325
t67	 4398	 724656
t68	 2513	 724725
t69	 3701	 940049
t70	 4119	 1146784
t71	 3701	 748184
t72	 3630	 882028
t73	 3631	 984803
t74	 3351	 824079
t75	 4190	 801317
t76	 3840	 738270
t77	 3910	 769759
t78	 4677	 845932
t79	 4120	 843139
t80	 4608	 730590
t81	 3700	 799502
t82	 4049	 1193214
t83	 4119	 935162
t84	 4608	 728985
t85	 3421	 861502
t86	 3072	 756284
t87	 4119	 750349
t88	 3281	 858639
t89	 4957	 743228
t90	 3840	 785050
t91	 4608	 753631
t92	 3561	 829105
t93	 4329	 853333
t94	 4399	 754469
t95	 3351	 745113
t96	 3212	 747626
t97	 3282	 753352
t98	 3631	 951778
t99	 4259	 748883
10 86576

t0	 3631	 2914821
t1	 39728	 2684487
t2	 35398	 2888849
t3	 27229	 2838857
t4	 32885	 2860362
t5	 31978	 3117367
t6	 33234	 2785725
t7	 40635	 2896319
t8	 47477	 3004120
t9	 30022	 3148856
t10	 35608	 3299456
t11	 44265	 4228683
t12	 46779	 3756564
t13	 45941	 4479334
t14	 40006	 4869346
t15	 41891	 5594770
t16	 43916	 4004493
t17	 39239	 3531187
t18	 32885	 2776649
t19	 40775	 3121487
t20	 42451	 3855429
t21	 35887	 3942563
t22	 56274	 4389407
t23	 32117	 4955922
t24	 53761	 5290009
t25	 32326	 2938909
t26	 28486	 2810860
t27	 51736	 2816446
t28	 33024	 3370952
t29	 29533	 3430787
t30	 43078	 2708575
t31	 42450	 2989179
t32	 31139	 3460809
t33	 23390	 2768479
t34	 30371	 2793336
t35	 130493	 2922292
t36	 28765	 3822614
t37	 33932	 3141665
t38	 92232	 3253306
t39	 117366	 3258821
t40	 23878	 3445798
t41	 31279	 2843186
t42	 24856	 2954618
t43	 38191	 2831666
t44	 29184	 3141455
t45	 25274	 3132239
t46	 58090	 2623604
t47	 41613	 2715138
t48	 35049	 2647413
t49	 27997	 2563839
t50	 33583	 3476868
t51	 41543	 3147460
t52	 34491	 2675900
t53	 33862	 2668778
t54	 34561	 2715068
t55	 33793	 2775113
t56	 33513	 2692307
t57	 35538	 2967535
t58	 34421	 2692167
t59	 34490	 2760311
t60	 32187	 2670942
t61	 34072	 2738388
t62	 34421	 2718559
t63	 31279	 2793754
t64	 24926	 2785097
t65	 34142	 2705991
t66	 33374	 2653418
t67	 47198	 2609501
t68	 33374	 2654255
t69	 35608	 2604893
t70	 35049	 2542544
t71	 36306	 2773158
t72	 33234	 2679669
t73	 34701	 2638197
t74	 33723	 2556229
t75	 35189	 2915380
t76	 34700	 2754376
t77	 32955	 2757449
t78	 40146	 2929274
t79	 33723	 2749977
t80	 33583	 2803739
t81	 26741	 2704595
t82	 41403	 2777975
t83	 38401	 2739993
t84	 32256	 2660819
t85	 35049	 2937722
t86	 41054	 2768968
t87	 38051	 2783910
t88	 29882	 2709831
t89	 33164	 2858408
t90	 32187	 2809464
t91	 33443	 2775392
t92	 35049	 3052505
t93	 29324	 2732453
t94	 34490	 2686442
t95	 33862	 2608733
t96	 33723	 2822101
t97	 32256	 2699638
t98	 36865	 2647413
t99	 28207	 2680228
11 92276

t0	 35608	 3811512
t1	 46081	 3175667
t2	 32187	 3134054
t3	 33513	 3108919
t4	 35258	 3194378
t5	 31559	 3832109
t6	 29813	 3076732
t7	 32955	 3162540
t8	 32536	 3855638
t9	 37005	 3623628
t10	 52365	 3361526
t11	 29882	 3257635
t12	 29883	 3262103
t13	 29254	 3134264
t14	 93489	 3152766
t15	 39448	 3262801
t16	 32466	 3498861
t17	 30860	 3195006
t18	 30023	 3286609
t19	 29813	 3264267
t20	 36935	 3090626
t21	 31977	 3060604
t22	 33094	 3259100
t23	 31419	 3344071
t24	 30372	 3110665
t25	 30092	 3012498
t26	 36097	 3147878
t27	 32745	 3080572
t28	 33165	 3274740
t29	 30232	 3141525
t30	 29324	 3086437
t31	 31978	 3104660
t32	 43288	 3190957
t33	 32327	 3233128
t34	 31279	 3322427
t35	 28626	 3214835
t36	 33583	 3260566
t37	 32536	 3122045
t38	 32815	 3358732
t39	 39657	 3297571
t40	 32606	 3398879
t41	 29813	 3228450
t42	 31977	 3295686
t43	 31768	 3195774
t44	 145783	 3179716
t45	 32466	 3210017
t46	 34212	 3402370
t47	 29533	 3274950
t48	 30442	 3164705
t49	 38052	 3033514
t50	 33234	 2987294
t51	 32117	 3123232
t52	 31698	 3268316
t53	 29534	 3091744
t54	 30511	 3401671
t55	 32397	 2990994
t56	 31908	 3054949
t57	 34211	 3070309
t58	 34281	 3406000
t59	 30302	 3186838
t60	 30441	 3123023
t61	 33094	 3114714
t62	 32466	 3214766
t63	 31698	 3162959
t64	 32257	 3329409
t65	 31000	 3258472
t66	 36446	 3133426
t67	 95443	 3108779
t68	 32606	 3194588
t69	 33234	 3573777
t70	 32466	 3481126
t71	 31070	 3241297
t72	 38750	 3299665
t73	 28067	 3058789
t74	 33094	 3222167
t75	 33164	 3175737
t76	 33653	 3345886
t77	 30022	 3168265
t78	 30023	 3097888
t79	 27858	 3020179
t80	 32187	 3121556
t81	 31559	 3107313
t82	 32954	 3205828
t83	 36585	 3115273
