Random Values=100Normal Distribution Parameters
s=200,l=50000,u=1000000
	Array	Vector
t19	 37633	 2693155
t20	 34770	 2795511
t21	 34630	 2827279
t22	 31418	 2812407
t23	 28277	 2724783
t24	 34072	 2867914
t25	 41264	 2788179
t26	 31070	 2666763
t27	 34212	 2758855
t28	 35189	 2758646
t29	 33164	 2774984
t30	 28347	 2609930
t31	 36097	 2655034
t32	 34560	 2699090
t33	 27020	 2569155
t34	 35050	 2676119
t35	 34770	 2675002
t36	 30442	 2613630
t37	 42031	 2703419
t38	 34491	 2662574
t39	 33095	 2777497
t40	 31978	 2654335
t41	 34491	 2793207
t42	 33793	 2786644
t43	 37702	 2723107
t44	 34421	 2755784
t45	 33653	 2809405
t46	 33095	 2797047
t47	 26951	 2704885
t48	 34073	 2786644
t49	 31908	 2771143
t50	 30930	 2665506
t51	 35119	 2739585
t52	 34561	 2753480
t53	 33374	 2935988
t54	 32467	 2697833
t55	 33025	 2749080
t56	 33933	 2766955
t57	 31140	 2707608
t58	 42171	 2690781
t59	 34561	 2708725
t60	 40914	 2694481
t61	 27159	 2569574
t62	 35747	 2717661
t63	 33653	 2647703
t64	 28766	 2616702
t65	 33443	 2679121
t66	 33722	 2898704
t67	 37144	 2817784
t68	 26950	 2708096
t69	 44266	 2783711
t70	 37005	 2853391
t71	 31489	 2724435
t72	 44476	 2684149
t73	 32047	 2768281
t74	 36655	 2860374
t75	 31978	 2815130
t76	 30581	 2778056
t77	 33444	 2801446
t78	 40774	 2820227
t79	 24926	 3397635
t80	 35748	 2673256
t81	 32885	 2721782
t82	 33373	 2771632
t83	 27579	 2631923
t84	 39029	 3077792
t85	 29534	 2928867
t86	 35818	 2730300
t87	 25484	 2593173
t88	 33863	 2708236
t89	 41613	 2774565
t90	 37843	 3211636
t91	 40844	 2604834
t92	 40425	 2761579
t93	 28137	 2786155
t94	 30092	 2739934
t95	 35468	 2828466
t96	 41822	 2803471
t97	 32676	 2779662
t98	 26042	 2690641
t99	 34980	 2833143
9 51792

t0	 35119	 1518438
t1	 5167	 1221495
t2	 5376	 1149721
t3	 4468	 1150559
t4	 4957	 1215631
t5	 4469	 1133663
t6	 4399	 1150350
t7	 5167	 1254940
t8	 4887	 1148185
t9	 4329	 1152793
t10	 5167	 1220309
t11	 5237	 1159426
t12	 5027	 1160473
t13	 6005	 1229874
t14	 5237	 1147137
t15	 5097	 1150838
t16	 4608	 1161870
t17	 4678	 1276095
t18	 4399	 1141901
t19	 5027	 1153421
t20	 5096	 1225615
t21	 5027	 1186935
t22	 5237	 1169270
t23	 5097	 1217027
t24	 3840	 1144415
t25	 4748	 1155097
t26	 4609	 1261572
t27	 4888	 1144624
t28	 4189	 1158867
t29	 5097	 1229245
t30	 4747	 1147836
t31	 5027	 1164383
t32	 4818	 1220588
t33	 5027	 1146648
t34	 4678	 1151187
t35	 4818	 1150559
t36	 4958	 1249354
t37	 4469	 1144485
t38	 5027	 1134989
t39	 5096	 1192799
t40	 4888	 1148743
t41	 4957	 1153002
t42	 5446	 1183025
t43	 4958	 1129753
t44	 5166	 1139807
t45	 4608	 1256545
t46	 4748	 1125214
t47	 5097	 1126262
t48	 5027	 1141692
t49	 6074	 1122979
t50	 4957	 1128425
t51	 4818	 1132824
t52	 5446	 1197827
t53	 4259	 1121304
t54	 4608	 1298367
t55	 5097	 1210184
t56	 3142	 1116766
t57	 4957	 1125913
t58	 5027	 1188611
t59	 4887	 1122072
t60	 4678	 1128147
t61	 5377	 1192590
t62	 4608	 1143786
t63	 3771	 1124726
t64	 5236	 1127099
t65	 5236	 1255777
t66	 4608	 1116976
t67	 5096	 1131638
t68	 4189	 1185050
t69	 5236	 1120815
t70	 4538	 1124865
t71	 5167	 1196989
t72	 4748	 1125005
t73	 4678	 1127029
t74	 4957	 1275047
t75	 4817	 1119210
t76	 5306	 1133103
t77	 5586	 1145113
t78	 5446	 1205716
t79	 4957	 1135338
t80	 4189	 1116975
t81	 4259	 1259338
t82	 4119	 1124027
t83	 4120	 1126331
t84	 4190	 1228338
t85	 4538	 1120257
t86	 4608	 1125633
t87	 4609	 1198246
t88	 4747	 1118651
t89	 4888	 1137642
t90	 4469	 1138480
t91	 5935	 1135338
t92	 4189	 1142321
t93	 4748	 1239090
t94	 4468	 1296202
t95	 4888	 1158797
t96	 4958	 1152025
t97	 4888	 1643975
t98	 6075	 1580578
t99	 4747	 1449108
10 30034

t0	 6912	 574267
t1	 2584	 573987
t2	 6424	 903118
t3	 4748	 727451
t4	 3072	 971332
t5	 5027	 816053
t6	 4259	 769273
t7	 7331	 851032
t8	 3142	 796433
t9	 3421	 715023
t10	 4817	 705248
t11	 3840	 759010
t12	 6074	 737157
t13	 4747	 873933
t14	 3212	 728010
t15	 2862	 730943
t16	 3351	 704970
t17	 3421	 746023
t18	 4329	 880287
t19	 3630	 720120
t20	 3980	 691564
t21	 3910	 727871
t22	 4818	 718166
t23	 4538	 968469
t24	 4958	 763827
t25	 3700	 817519
t26	 5586	 809280
t27	 2723	 785681
t28	 5655	 885733
t29	 4958	 713837
t30	 3352	 807674
t31	 5027	 831133
t32	 3352	 805789
t33	 3282	 725008
t34	 4888	 704271
t35	 3491	 765294
t36	 4120	 725007
t37	 4469	 784285
t38	 4608	 706925
t39	 5167	 725986
t40	 3701	 898998
t41	 6005	 1074176
t42	 4608	 702805
t43	 3770	 708880
t44	 3003	 832181
t45	 5167	 1116766
t46	 4818	 900674
t47	 5027	 953458
t48	 4539	 706784
t49	 3422	 980129
t50	 4399	 731292
t51	 3701	 724380
t52	 3561	 703922
t53	 4189	 741974
t54	 3142	 842515
t55	 5586	 763479
t56	 4050	 724658
t57	 4329	 752726
t58	 4608	 749026
t59	 4329	 928044
t60	 4888	 720958
t61	 4049	 760407
t62	 4678	 861575
t63	 6214	 1025511
t64	 5656	 880427
t65	 9007	 979780
t66	 5935	 958695
t67	 4120	 889433
t68	 3700	 702387
t69	 3491	 922109
t70	 3561	 703433
t71	 2443	 773253
t72	 5795	 944451
t73	 3421	 753703
t74	 6982	 910239
t75	 4259	 718165
t76	 3910	 800482
t77	 4189	 818426
t78	 4608	 817379
t79	 3352	 729546
t80	 4538	 903048
t81	 4049	 799366
t82	 4329	 887478
t83	 4119	 789242
t84	 3980	 703992
t85	 3700	 1080669
t86	 4468	 694427
t87	 3421	 937608
t88	 4119	 715163
t89	 3701	 695195
t90	 3631	 770111
t91	 4259	 954715
t92	 3910	 696871
t93	 2792	 725217
t94	 3840	 939843
t95	 3840	 741066
t96	 4050	 689888
t97	 3910	 862692
t98	 4538	 775278
t99	 2863	 840210
11 96097

t0	 14732	 3648917
t1	 39588	 3150893
t2	 39518	 3236562
t3	 45523	 3186920
t4	 40844	 3120591
t5	 41822	 3144121
t6	 58718	 3203956
t7	 37213	 3016281
t8	 39937	 3041625
t9	 34910	 3025287
t10	 35468	 3101390
t11	 36865	 3208494
t12	 31908	 3044278
t13	 32955	 3229231
t14	 32466	 3886164
t15	 42171	 3051400
t16	 35608	 3030175
t17	 45593	 3786322
t18	 34910	 3464732
t19	 31838	 2978997
t20	 41194	 3027801
t21	 33863	 3716572
t22	 52644	 3497408
t23	 35119	 3039880
t24	 34491	 3149147
t25	 31209	 2939479
t26	 34421	 2996103
t27	 35957	 3023262
t28	 47198	 3294791
t29	 33025	 3015723
t30	 31000	 2913716
t31	 34421	 2996592
t32	 66399	 3777455
t33	 35468	 3378645
t34	 39169	 3176237
t35	 32955	 3117519
t36	 30651	 2913157
t37	 34002	 3016490
t38	 39378	 2997569
t39	 34421	 3011672
t40	 31978	 3028918
t41	 36725	 3031571
t42	 34910	 3225251
t43	 39030	 3654083
t44	 52086	 3054891
t45	 35469	 3104463
t46	 52994	 3184965
t47	 33584	 2959727
t48	 35748	 3076744
t49	 46361	 3063549
t50	 34560	 3112422
t51	 33374	 3021238
t52	 35259	 3229929
t53	 33444	 3030593
t54	 34770	 3328654
t55	 41542	 3121987
t56	 71007	 3152080
t57	 31140	 2937384
t58	 34072	 3110817
t59	 35189	 3093781
t60	 45383	 3284179
t61	 34910	 3225111
t62	 33443	 3611913
t63	 31978	 2895562
t64	 35469	 2999454
t65	 34212	 3028918
t66	 38192	 3073044
t67	 33234	 3013837
t68	 32257	 2954909
t69	 34701	 3231814
t70	 34351	 3099366
t71	 41752	 3104114
t72	 38960	 3133229
t73	 31349	 3130645
t74	 34979	 3043091
t75	 35049	 3024868
t76	 34561	 3080375
t77	 46151	 3069483
t78	 30860	 2932985
t79	 35398	 3071298
t80	 35119	 3110188
t81	 36655	 3026614
t82	 45732	 3054612
t83	 34561	 3020191
