Experimento 2
n-random	VectorInsertion[ns]	ArrayInsertion[ns]
573719	9174947	2529213
577802	8650144	2552413
579305	9492548	2536313
582377	8709844	2618414
582388	9826150	1800209
583361	10002951	1738909
583784	9559948	2533713
584036	10361053	1720008
585083	9865150	2536613
593696	8975446	2654213
599664	10543054	2583013
606299	10574354	1805709
608627	12721165	2674714
612688	10143452	2638413
612793	10534454	1905010
614184	9716749	2790015
616274	9426748	1798310
617719	9749550	2783714
618162	9669049	2333212
618329	10399053	1826210
618649	9098246	2667014
621887	10362553	1809409
623325	10941955	2756415
628518	9865450	1908410
629451	11891161	1987010
630073	9992351	1848609
630841	9425348	1871909
633235	10617354	1897610
635434	10398753	1858409
635535	9304748	2855514
637395	10598354	2538813
649596	9944751	1901909
650754	11399558	2875115
655711	9845250	2532113
659826	10607054	6547134
661239	10894456	2920015
666385	9789650	2575313
667418	9590149	2945615
670606	10238652	1980710
672925	10458553	2906115
675743	11276558	2061410
677370	11414259	2020910
679421	13092866	2069211
683833	11530258	2094710
684089	11735760	2095411
686727	10466353	2027211
688025	10387453	3132316
690032	11008956	2033810
694857	9832350	2041011
698446	11223757	2694614
698462	10781055	2322312
706906	11352758	2092210
707777	10291253	2376312
708029	11595759	2746914
708682	12147462	2079510
711198	11617660	3422717
712912	13357568	2333812
713891	10349453	3415617
715219	10085352	3143316
716780	11514759	2107811
719564	11386658	2234012
722614	11020656	3100516
722895	11071657	2790714
728105	11476559	2175811
729840	12112161	2166311
731564	11234057	2212011
736613	10592154	2876615
739333	11137256	2193612
740245	11119056	2167911
742216	10524754	3147716
743475	11311657	2180812
745777	10641054	3336517
747368	11467258	2190411
750275	10702254	2950915
751055	12048462	3154716
755718	10995556	2226511
758753	10893956	3323516
761608	10459254	2303312
763008	10380652	3349417
765097	11852461	2297611
765253	11686860	2262011
766898	12039562	2323511
768387	13655469	2454313
771426	10721454	3415218
771647	12006862	2256411
774219	11670360	3315017
775936	11803060	3645919
777218	11873360	2424813
777927	12205262	2279212
778037	11606559	3034915
780278	11908061	3480817
780649	12133061	3654219
783390	11477358	2336812
785102	12274262	3104816
789189	11071356	2383012
796380	11486159	3465217
796913	11712960	2321212
801310	11765860	3189717
802642	12897866	3250717
803299	11038556	3526618
804542	11977561	2419113
805426	11630660	3249916
805931	11337657	2351612
808048	11909660	2434113
810758	11183957	2390612
811429	11081257	3278617
812645	12118662	2689814
815227	13945771	3496718
823120	11896261	3593418
823707	11981361	3246916
827630	11347658	3252017
831886	11798960	3651719
833830	12130862	3277317
834923	12314262	3467218
840021	12079362	3706219
848496	12316663	3285016
850492	12253063	3342917
856571	13842771	3450917
859852	11914561	3334517
861255	12839465	2582913
863293	12149162	3769920
867626	11728760	3460317
868408	12707265	2698514
868583	11554459	3748919
871507	11762260	3771219
875313	12992166	3477718
877170	12854366	2543113
879074	12438763	3461218
879247	12223563	3470317
880764	12793765	2595713
881972	12626664	3851820
884460	12240063	3525918
888471	12606864	3840020
892834	14854675	2813515
898031	14176072	2781414
898568	12796965	3634018
904352	12726065	3610919
911372	12932566	4140121
911649	12673064	3958621
912018	13289268	4010020
912768	12280963	3978520
913569	12475364	4629123
915258	13575270	3710418
917526	12270063	3981820
924412	12842266	3818819
927685	13384168	4116221
930372	12177763	3693218
943593	13390368	3737820
944768	13049666	3911520
946651	13196568	4093820
952020	12404563	3855520
952154	13176267	3813120
953734	15602879	3805020
955582	13480069	4264922
958381	12458063	3857520
958770	12400464	3846819
959586	13043867	4814624
962544	13990072	4364622
964190	13413368	3845820
965293	12469663	3933920
965321	13143267	3945320
966742	13221267	3836920
968624	12517964	3892619
968646	13332668	3839720
971286	13319268	5202227
978469	12632564	3923020
981807	15407679	4449422
984554	13482769	3953820
985332	14139472	3990220
985829	14025772	3934420
985875	13422469	3962220
986457	13890171	3929720
987613	13755470	4333422
989674	12740065	4008320
994416	15795981	4002920
996450	13630869	4153221
996458	15266278	4177121
996933	12824666	4350422
999073	13013866	4048921
