Experimento 1
n-random	VectorInsertion[ns]	ArrayInsertion[ns]
353295	5119126	1573608
354621	5149426	1584309
354790	4652524	1570908
355079	5131726	1492807
355951	4788725	1542407
357807	4688224	1567908
358098	5154726	1568508
359145	5445028	1573808
360119	5181827	1562408
360850	5280527	1789109
362542	5397328	1590408
363930	5635529	1665408
364239	5776029	1068105
364402	4715024	1605708
364711	4758224	1074306
364805	4769324	1708709
365411	4760925	1611408
365682	5377727	1597108
365926	5133426	1607408
366155	6205932	2191411
366656	5038226	1632608
367123	5319427	1085806
367133	5495128	1559808
367596	4759125	1579408
367873	4778725	1596908
368432	6875835	1079105
369694	5272427	1653408
371001	4881225	1132405
373241	4817524	1658409
373656	4825625	1610708
373831	5850230	1107905
373978	4906525	1609508
374066	5760330	1107205
374287	5498528	1648908
375297	5737730	1149905
375431	5321927	1619008
375604	5783030	1642408
377329	4835224	1650909
379670	5356727	1646509
380007	5736029	1701909
380211	5866730	1680108
383259	5919130	1148906
384635	5658729	1696908
384681	5921431	1149905
384994	5379027	1670709
385899	5852830	1732209
386914	4921525	1645409
388349	6652334	1747809
388898	4973325	1729309
390572	4946225	1653709
391745	5674629	1717009
392196	5004525	1699309
392556	5138526	1145206
392626	5936730	1770309
394336	4983425	1711309
394353	6132531	1687609
394661	12104862	2017310
395093	6154331	1794409
395274	5811029	1760409
395885	5045626	1741008
398046	6176031	1833710
399604	5589629	1762409
400173	6298432	1166506
400940	5280627	1861209
400958	5270027	1847409
402120	5955831	1762609
404504	6343033	1737508
404518	6205532	1208506
404946	5621228	1776709
405104	5098226	1777209
405310	5855629	1777310
405768	5687329	1753209
407981	6047631	1797109
408183	6038831	1807009
409084	5923930	1199106
409514	5100026	1791009
409569	5998530	1765409
409620	5880430	1811209
410381	6420333	1193606
411306	5566328	1780409
411793	7501238	1815609
411906	6377332	1240506
411960	6076131	1787909
413201	5942030	1922110
414970	5871030	1873510
418373	5398928	1864309
420397	6200931	1857210
420919	5238726	1826410
421659	6294332	1298606
421675	5895830	1809809
422357	5871429	1848410
422390	6445533	1884009
424716	5901030	1789309
426034	5273827	1866409
427689	5994431	1925510
429039	6009831	1876510
429839	6268532	1873609
429947	6142331	1867409
430293	5334627	1865910
430989	6388333	1871509
431404	6290932	1875910
432666	6545534	1867409
432691	7866640	2088810
434979	6563234	1886809
435330	6326432	1930910
437297	5943830	1907210
438928	5955531	1924909
439881	5573628	1933010
441642	5515728	1895410
442739	6056431	2099011
443135	6566733	1927410
443544	6202932	2000210
444681	5759829	1995610
446385	6400532	2019811
446656	6233232	1925610
448794	5628729	1979510
448837	6210832	1943910
451171	5734929	2047910
451362	5513428	1953110
451722	6782835	1441207
451819	6067031	1982910
452026	5673629	1994410
452111	6179832	1970610
452204	5490128	2000910
452355	6391133	1360706
452584	6897235	1387708
452938	6627434	2002510
453300	6484733	2039810
454204	6694034	1975210
456737	5652829	2063310
458422	5641829	1970810
459519	5605029	2051010
460478	6283232	2002410
461518	5600228	2001911
461658	5552228	2010711
461763	5576728	2033010
462088	6197831	2022311
462376	6270632	2067911
462664	7005335	1972610
463018	7069436	2087210
463590	6359132	2010810
463986	6212132	2032510
465315	6578933	2127911
465379	5896830	2093111
465541	6292932	2072811
466863	5750329	2000310
467606	6047031	2125411
468386	6542534	2046710
470095	6315933	2065410
470423	5650929	2038910
472906	6459933	2105511
473260	5685729	2055211
473683	5701929	2147711
474074	6172332	2103110
474140	6463533	2250212
474502	6284232	2138111
475631	6091631	2026211
475808	5862030	2126411
476109	6456433	2085811
476685	6332932	2052011
477563	7122436	2078711
477903	5673629	2079411
478715	6409232	2102111
478862	6746134	2075211
480146	6400932	2097111
480632	6466033	3351317
482804	6894135	2181411
483270	5811430	2134310
483272	5956430	2081611
485602	6926935	2245111
486070	5738930	2199211
487134	6540233	2120511
488463	7067936	1482807
489429	7016936	2105911
493486	5839230	2151411
497344	6969335	2282412
499521	6530633	2160911
500048	6561834	2156311
501130	7148536	2200311
503241	8318642	2182411
504015	6919835	2180411
505402	6873735	2221711
508105	7548438	2228012
510264	6031731	2232611
510774	6949635	2234411
512782	6223932	2239612
512834	6023231	2333012
513637	6788835	3188016
515544	6102131	2258811
516068	7053736	2299611
516704	6863935	2258911
517550	7510938	2354412
518619	6609534	1952309
520557	8014041	2230411
520825	7686940	2320511
521807	6857935	2221311
521951	7262237	2345012
522547	7339638	2305211
524786	10068751	1517608
525337	8975446	1564608
526557	9100247	1581308
527407	9732850	1585808
527727	8967346	1596708
527758	8561244	1558208
527796	8361742	1539708
528682	9039346	1562008
528713	8592544	1568008
530945	9098646	1566208
530953	8980145	1542008
533992	9872350	1712509
534554	9115946	1604809
534568	10117652	1622208
534940	9077446	1757809
535219	8851345	1584708
535919	9661850	1572308
535922	8379942	1623709
538437	10229552	1583408
538714	8974845	1696609
539363	9812650	1626408
539728	9538149	1618408
541940	10301353	1633308
542332	9452048	1697308
543701	9572449	1675708
546299	9411648	1664309
546328	9781549	1642208
547008	9573248	1668309
548214	9692650	1689708
548374	9329747	1646709
549219	10853755	1742309
550159	9964951	1647508
551396	10409753	1659708
552580	9832750	1656208
553166	9810950	1638508
553572	8870245	1633608
557298	9059846	2443213
558150	9915151	1642408
558638	10044851	1776209
558649	9626349	1648208
559329	9385947	2146311
559351	8486343	2425513
560283	8465943	2519213
560288	8981046	2523313
560464	11886761	1944910
561254	9434848	1699609
561600	9886951	1681708
561673	9190547	2570013
561888	10149952	1660908
563392	8653744	2449512
564752	8541144	2454212
566476	9907151	2431612
567196	9891850	1753309
568201	10155651	1652209
568821	9040246	1684609
569278	10489354	2598013
570812	10386753	1707709
571231	9590949	1701408
572288	8839445	2483213
572732	12187862	1722808
573692	9821550	1676808
574470	9611149	1734709
575019	9725650	1682008
575599	9094146	2504913
576753	9262447	1688108
577583	10196252	2693114
578473	9135147	2544213
579306	9646949	2578613
579633	10249352	1815310
582862	10475053	1707109
583194	8789845	1758909
583666	10179452	1767209
585066	10585354	1796909
585443	9361148	2510712
585508	8797945	2522513
585813	9955851	2883915
587227	9991051	2598313
587417	9476548	2534413
589380	10023252	3826819
589617	9270147	2263111
589833	10479553	1734309
590862	10369253	1802710
592531	10626154	1728209
592971	9278248	2542313
593498	9865050	1780409
594008	10559754	2542713
594629	9455048	2242212
594956	10790955	1780309
595069	8883645	2590713
595389	9389848	2602114
596498	9426349	2634913
596971	9892651	2585313
597501	10787655	2592913
597857	9451148	1775109
599315	10146452	2258111
600118	10384153	1772509
601177	9548848	2507813
601269	9813150	2650314
601446	9962451	2610913
602715	9907450	1810610
604298	10539054	1785409
606056	10623955	1798409
607330	10088851	1818210
607442	10554054	1906810
610956	9091646	2782715
611773	10776954	1811810
612166	10429853	2343512
612599	10115251	1815209
612840	10170952	1816109
614334	10735754	1969010
614392	9871551	1820409
614577	10257552	1808610
620460	9536449	2095011
621818	22511515	2925115
622606	9268347	2659214
623324	9220647	1844009
624237	10510453	1811510
624778	10022951	1900510
625007	10091952	1856609
628729	10293352	2701714
629559	9724949	2469413
631605	10460754	1852409
632684	9640049	2753414
633298	11294757	2434513
634400	10711755	2509913
635505	10291352	2754614
635615	10031951	2729914
636511	9610849	2754814
636851	9320448	2805414
638132	10690154	1947410
638265	9341748	1923809
638456	10910956	1926210
639188	10036151	2762314
639748	10792455	1928010
640172	10320953	1917710
641221	10443153	1899609
641517	10395553	1926210
642892	11003156	1883310
643245	10434953	2909715
643409	9369647	1932610
644323	10427653	2532913
645780	9764950	1916909
645866	11590359	2849614
645892	11813161	2637713
647047	16287583	2499613
648878	10180552	2793614
649219	10219552	2884015
652228	10688154	1929210
654143	10834855	1980410
655440	10243152	1951610
656565	9433248	1925510
657205	11938361	2586213
657592	10485753	2896915
658555	10502554	2487013
658938	10345753	2878814
659516	9499448	2004111
659524	10611354	2931815
660283	10765355	2495713
661547	11411058	3050016
663053	10262552	2889015
663213	12174762	1953810
665054	10335452	2009011
666489	10489353	1975010
667708	9783050	2889415
667989	10854455	1993410
668010	10702655	1970010
668633	14419373	2614114
669690	10084451	2528013
669804	10950455	1992711
669855	9520949	2912115
671806	9789550	3160016
671841	10778455	1991410
672632	10802555	2084810
677593	10331952	2012011
679501	10758355	2956515
680095	11281557	2088611
681232	10560754	3037315
682759	10423753	2064710
684480	10580854	2909815
688978	10167752	2671313
692481	10713755	3162616
694176	10620054	3060916
695546	10935956	3081816
696263	11047856	2046111
696418	11001556	2746714
697172	11034056	2053110
697551	10760654	3008816
697630	11539359	2071910
699477	10857555	3066516
700530	10491454	2066910
700565	11360858	2713614
700895	10232652	2646614
702631	10790055	3091615
705510	10165152	3041216
705539	11078656	2071911
705570	10908255	2084111
708200	10171252	3159116
708479	10512354	2103411
710316	10938256	2084111
710395	10149151	2752414
710899	11658559	2088311
711498	11106957	2099711
712088	11417458	2591213
713770	10643954	3069716
714182	10037151	3143916
714430	11174657	2124511
715333	11140457	2884414
715450	11107657	2779714
715702	10445154	2781514
718037	10997756	3146916
718159	10625054	3129616
718407	11433858	2122010
719486	10173652	3184316
720914	11211457	2864115
722245	10150552	3163716
722349	11665659	2147211
722472	10941756	3184316
725101	11529459	2157011
726604	10216052	3162616
726689	11185557	3194016
728861	10982756	2848214
731187	10658855	2256911
732323	12569364	5512928
732808	10600554	2807514
733903	10973156	3144216
734740	11687360	2155011
735422	10499954	4740524
737252	11651160	2950215
740575	11341158	2901014
740770	11040657	3226616
741133	12251062	2362212
743603	10306852	3215817
743914	12149362	2182811
745093	11646959	3047616
745316	11555759	2208311
745957	11368058	2875115
746491	10712955	2223211
746716	12022462	2202911
748012	11635159	3016816
749553	10749655	2191911
750921	13204167	2949415
750995	10728854	3355418
752360	11613559	2344012
752643	10753055	2966015
753179	10406253	3235416
756861	11046356	3270017
756872	10497653	3299617
759842	10469153	3313217
761067	11703259	2230812
762348	11839560	3600419
762941	12122762	2979515
763883	10765755	2954115
764806	12195562	3512318
765970	11345958	3035315
766286	11131257	3476618
766720	11792560	2249811
766874	10600854	3012815
768218	11375158	3370517
768677	10876456	2318511
768813	11486858	3003815
768841	11302658	2243611
770270	11487459	2331312
770453	10737054	2250012
771836	10671755	3347417
771892	13641370	2436312
772355	10858556	3069215
773111	12485464	2402512
773769	12030661	2260012
773890	11645560	3022015
774316	12315863	2415112
774830	12580964	3382117
775632	12176462	2274012
775684	13057567	2809414
778127	11820360	2280012
778164	11755060	2318712
778256	11598459	2276712
781321	10652555	3477517
782789	11368058	3354117
783055	11432859	3107215
783274	10953256	3101716
783313	11457159	3508518
783570	11481358	3415318
783975	10762755	3376817
786453	10849956	2327711
787572	10730554	3442318
788785	11123457	3095016
788890	11865361	2336111
789800	11458259	3061315
791795	11729860	2308212
792804	12959566	2391712
793093	11878461	3280217
793288	11869860	3301617
795335	11612559	2523513
797484	10859756	3467917
799548	16038082	3703819
801854	11017656	3499218
801998	10917856	2403012
803836	12053262	2364712
804235	11921861	2431312
804285	11567959	3159916
804435	12487164	2430812
805749	11688860	2688614
807694	10995256	3224917
810910	11300558	3140916
812260	12591164	2512313
812580	12801765	3580218
812742	11184357	3508217
813389	11348058	3725719
813778	11764960	2496212
815398	11107857	3218916
816918	11136657	3270517
817880	12101261	2384412
819274	12310263	2461513
821128	11851360	3660319
821143	12902766	2448413
821954	12036062	3593018
822894	11190557	3354617
824758	11906661	3579918
826055	12354563	2484913
826719	11488158	3354617
829634	12621664	3769919
830344	12451364	2462512
832359	11952161	3606818
832992	11151857	3264916
834153	12549064	3340317
837248	12558564	2507413
837319	12353163	3272517
837901	12070662	3640218
839338	12853865	2461413
840492	12004662	3780519
841148	11254657	3609418
841877	12563765	2528212
842010	11330758	3588218
843616	12563864	3330217
843941	12083061	3628419
844726	13079167	2507013
846739	11792460	3312217
847594	12347162	3286117
848392	11310758	3750719
853594	12713365	3396317
855018	17199988	3885120
856473	12101561	3764120
857724	12497864	3408718
857927	12001862	8584143
859337	11642759	3401117
860073	12863266	3361317
860475	12138562	3403217
861688	11466959	3473018
861755	12921565	2565313
862627	12662565	3357317
863090	11851260	3393718
863628	12649565	3838719
863797	13007067	2611813
864452	12200562	3710919
864594	11958760	3931920
864632	11527759	3359917
864832	12984666	2517113
865327	12974366	2610414
866621	12855065	2557113
867125	12966867	2589613
868096	12203062	3366817
868371	11951061	3552418
869184	11547159	3710219
870161	12562864	3378117
874409	12669665	3823719
875246	13136566	2565614
875512	16399983	2580413
875984	13624169	2598813
876766	12494464	2548913
877753	17426489	4215722
878095	12340663	3487618
879336	12773665	3510318
879382	12864266	3924120
879646	12512764	4078720
879827	12397163	3798919
879985	12471264	3480218
884108	12667964	3860420
884144	13155067	3724719
884478	12088861	3855320
886810	12633765	3619518
888351	11885061	3477417
890162	13806270	2675814
890489	12910066	3957820
890734	14067272	3907119
891032	12471264	3512217
891559	12611764	4058021
891781	12925766	4065221
891803	12722765	3864920
893762	12660264	3619219
893813	12437263	4226822
895000	12613065	3586318
896274	12617564	3919520
896279	11833561	2644613
896469	12071661	3591119
897368	13073267	3612918
897498	15093477	2620713
899103	12728565	3571018
899288	12888265	4037021
899367	17089987	3686918
899547	13494569	2714314
899599	12903366	3854820
899870	12990866	3926120
901004	12073962	3604118
902234	11850960	3585518
903184	11996661	3807519
904050	14224973	2684913
907325	12956866	3650218
907384	14040371	3027716
907682	12519864	2761914
909547	13771270	2822314
912502	18614895	3758520
913211	12095661	3768620
913512	12772665	3962020
914125	13116767	2696514
914883	12835065	3667319
917051	12686064	3929120
917627	13358168	4023021
917952	12907566	2717913
918136	13222967	3980821
919165	12199062	3759219
920160	12957267	3671318
921199	13082266	3794719
922412	12732064	3674619
923450	13029467	4180421
925884	12231162	3796219
930584	12167762	4076921
930987	12559264	3649219
931546	13466169	3707018
931697	13819170	3702219
932851	13335568	2829114
933270	12254262	4008620
933650	12967066	3756219
933895	13069766	4079921
933902	12149962	3707619
934228	12254562	4052721
934996	12890266	3714319
935130	14046772	2902615
935854	12651264	2924415
936947	13061266	4013821
939510	13621670	3906919
939747	13107267	4245521
940063	12268663	3708519
941316	13950171	4008621
941644	13127567	3793920
942783	13079366	4072421
945849	13162967	3800719
946124	13949571	3044215
947095	12470264	3776019
947595	13459768	3788520
948126	13486669	4421523
949363	15340178	2991215
955081	12375564	3860519
955513	13407869	3751419
957263	12420663	3800419
957286	13558069	7609239
958310	13199367	3801019
961541	12505363	4166422
962694	13448869	3849519
963282	12471564	3793119
963889	13633769	3842520
964787	13944071	2861414
965251	12660165	3844320
967137	13397669	3978020
967797	12666264	3984420
968374	13210567	3861620
968922	14085171	4214222
969933	13249168	3878020
970243	13271167	3890920
970748	12490763	3851820
970914	13817470	3952620
971353	13096267	3961220
971992	13506469	3855719
975202	14359274	3988420
976968	13364368	3987320
976992	13190967	5383227
979577	13312468	3912620
980295	12800065	3923120
981317	13362868	4072921
983793	13894371	3944320
984919	14326773	3926820
985385	13488769	3984720
985447	14040172	2945615
986075	13623769	3929020
987062	14007271	4004621
987168	13144167	4110621
990424	13613170	4515823
992811	14241372	2968316
992924	13949271	4098721
994030	12883666	4059320
994536	13707470	4205722
994678	13373268	4026721
996442	13628469	4016320
997915	13700870	4043920
997922	13625969	4476423
997952	14027772	4059421
998725	14168272	4008621
999296	14231572	4117821
999883	12970066	4057221
